playerId,Aerial,BallTouch,Clearance,CornerAwarded,Dispossessed,Foul,Pass,SavedShot,ShieldBallOpp,SubstitutionOn,Tackle,TakeOn,BallRecovery,SubstitutionOff,Interception,OffsideProvoked,Save,Challenge,OffsideGiven,BlockedPass,Card,ShotOnPost,OffsidePass,MissedShots,Goal,Claim,KeeperPickup,KeeperSweeper,Punch
6227.00,5,5,1,1,3,3,14,1,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106596.00,0,1,0,0,0,1,21,0,0,0,0,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
115996.00,0,1,0,1,0,0,8,0,0,1,2,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
126316.00,2,2,0,0,0,0,5,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
135098.00,0,5,0,3,1,2,32,0,0,0,3,2,9,1,2,1,0,1,1,0,0,0,0,0,0,0,0,0,0
142387.00,1,1,6,0,0,2,22,0,0,0,1,0,4,0,0,1,2,0,0,4,0,0,0,0,0,0,0,0,0
254352.00,2,1,0,0,0,4,4,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
261212.00,3,3,0,1,1,2,25,4,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
279423.00,0,1,0,0,1,3,79,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
294006.00,2,0,2,0,0,0,31,0,0,0,1,0,4,0,0,0,2,1,0,2,0,0,0,1,0,0,0,0,0
300299.00,0,3,0,0,0,0,11,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
300447.00,0,4,1,0,0,2,32,0,0,0,0,4,4,1,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0
301019.00,0,0,0,0,0,0,16,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
312580.00,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
349660.00,0,1,1,0,0,2,15,0,0,0,0,0,1,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0
349760.00,0,4,1,2,0,0,12,2,0,0,0,0,1,1,1,0,0,1,0,2,0,0,0,0,1,0,0,0,0
368091.00,4,2,2,0,0,2,60,1,0,0,4,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
384368.00,0,3,3,0,0,2,18,0,0,0,0,2,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0
384711.00,3,1,6,2,0,4,47,0,0,0,0,0,4,0,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0
402197.00,0,2,0,1,0,1,90,1,0,0,2,1,6,0,1,0,0,0,0,3,0,0,1,1,0,0,0,0,0
422824.00,2,0,1,0,0,1,19,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,2,2,2,0
422937.00,0,0,0,0,0,1,20,0,0,1,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
422938.00,0,2,1,0,0,1,42,0,0,0,2,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
423420.00,0,0,2,1,0,0,37,0,0,0,0,0,0,0,1,0,5,0,0,0,0,0,0,0,0,0,9,1,1
425092.00,1,3,1,1,1,1,24,0,0,0,3,0,3,0,1,0,1,2,0,0,0,0,0,1,0,0,0,0,0
445092.00,1,0,1,1,0,3,13,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0
463233.00,2,3,0,0,1,4,7,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
463838.00,0,2,0,0,0,3,25,0,0,0,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
480249.00,0,7,0,2,1,4,45,4,0,0,2,10,7,0,0,0,0,0,2,0,0,0,0,4,1,0,0,0,0
498386.00,2,2,3,0,0,1,52,0,0,0,0,0,4,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
537870.00,1,1,1,1,1,1,3,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
572374.00,3,2,0,1,1,0,21,0,0,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
