playerId,shirtNo,name,position,height,weight,age,isFirstEleven,isManOfTheMatch,field,subbedInPlayerId,subbedOutPeriod,subbedOutExpandedMinute,subbedInPeriod,subbedInExpandedMinute,subbedOutPlayerId,s_claimsHigh,s_possession,s_ratings,s_clearances,s_touches,s_passesTotal,s_passesAccurate,s_interceptions,s_throwInsTotal,s_throwInsAccurate,s_foulsCommited,s_tacklesTotal,s_tackleSuccessful,s_passesKey,s_aerialsTotal,s_defensiveAerials,s_tackleUnsuccesful,s_dribbledPast,s_dribblesWon,s_dribblesAttempted,s_dispossessed,s_shotsTotal,s_shotsOffTarget,s_errors,s_offensiveAerials,s_dribblesLost,s_aerialsWon,s_cornersTotal,s_shotsBlocked,s_offsidesCaught,s_shotsOnTarget,teamId,s_totalSaves,s_collected,s_parriedSafe,s_cornersAccurate,s_passSuccess,s_dribbleSuccess,s_tackleSuccess,s_aerialSuccess,s_throwInAccuracy
122714,1,José Sá,GK,192,84,32,1.0,False,home,,,,,,,1.00,1.30,5.66,1.00,28.00,23.00,18.00,,,,,,,,,,,,,,,,,,,,,,,,,161,,,,,78.26,,,,
94042,2,Matt Doherty,DC,185,80,33,1.0,False,home,,,,,,,,1.26,5.96,1.00,55.00,42.00,38.00,1.00,2.00,2.00,3.00,3.00,3.00,,,,,,,,,,,,,,,,,,,161,,,,,90.48,,100.00,,100.00
431283,24,Toti Gomes,DC,187,72,26,1.0,False,home,,,,,,,,1.57,5.76,2.00,67.00,57.00,50.00,,1.00,1.00,,3.00,2.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,,,,,,,,,,,161,,,,,87.72,100.00,66.67,,100.00
402810,12,Emmanuel Agbadou,DC,192,80,28,1.0,False,home,,,,,,,,1.49,5.29,4.00,71.00,61.00,51.00,,,,,2.00,2.00,,3.00,3.00,,,,,1.00,1.00,1.00,1.00,,,,,,,,161,,,,,83.61,,100.00,,
368547,26,Ki-Jana Hoever,DMR,183,65,23,1.0,False,home,402823.00,"{'value': 2, 'displayName': 'SecondHalf'}",78.00,,,,,1.42,6.30,4.00,51.00,22.00,11.00,1.00,10.00,9.00,,3.00,2.00,1.00,1.00,,1.00,1.00,,1.00,2.00,,,,1.00,1.00,,,,,,161,,,,,50.00,,66.67,,90.00
415341,6,David Møller Wolfe,DML,185,78,23,1.0,False,home,409730.00,"{'value': 2, 'displayName': 'SecondHalf'}",77.00,,,,,1.28,5.98,3.00,36.00,20.00,11.00,,5.00,3.00,,1.00,1.00,,1.00,,,,,,1.00,,,,1.00,,1.00,2.00,,,,161,,,,,55.00,,100.00,100.00,60.00
403693,8,João Gomes,MC,176,74,24,1.0,False,home,,,,,,,,1.58,6.29,1.00,70.00,57.00,52.00,1.00,,,3.00,9.00,4.00,1.00,1.00,1.00,5.00,5.00,1.00,1.00,1.00,,,,,,1.00,,,,,161,,,,,91.23,100.00,44.44,100.00,
397585,7,André,MC,176,77,24,1.0,False,home,544982.00,"{'value': 2, 'displayName': 'SecondHalf'}",77.00,,,,,1.30,6.08,1.00,43.00,30.00,29.00,1.00,,,1.00,7.00,4.00,,1.00,1.00,3.00,3.00,,1.00,1.00,,,,,1.00,,,,,,161,,,,,96.67,,57.14,,
377411,5,Marshall Munetsi,FWR,188,83,29,1.0,False,home,,,,,,,,1.08,6.03,,25.00,12.00,8.00,,,,,4.00,2.00,,3.00,1.00,2.00,2.00,2.00,2.00,1.00,1.00,,,2.00,,1.00,,1.00,3.00,,161,,,,,66.67,100.00,50.00,33.33,
333048,9,Jørgen Strand Larsen,FW,193,79,25,1.0,False,home,262854.00,"{'value': 2, 'displayName': 'SecondHalf'}",87.00,,,,,1.55,6.18,2.00,30.00,17.00,12.00,,,,3.00,1.00,1.00,,3.00,1.00,,,,,1.00,4.00,1.00,,2.00,,2.00,1.00,1.00,1.00,2.00,161,,,,,70.59,,100.00,66.67,
320242,27,Jean-Ricner Bellegarde,FWL,170,70,27,1.0,False,home,424039.00,"{'value': 2, 'displayName': 'SecondHalf'}",78.00,,,,,1.18,6.00,,39.00,23.00,22.00,1.00,,,1.00,2.00,2.00,1.00,1.00,1.00,,,,1.00,3.00,1.00,1.00,,,1.00,,,,,,161,,,,,95.65,,100.00,,
424039,10,Jhon Arias,Sub,170,77,27,,False,home,,,,"{'value': 2, 'displayName': 'SecondHalf'}",78.00,320242.00,,1.12,6.07,,12.00,7.00,6.00,1.00,1.00,1.00,1.00,1.00,,1.00,,,1.00,1.00,,,1.00,,,,,,,,,,,161,,,,,85.71,,,,100.00
402823,21,Rodrigo Gomes,Sub,175,67,22,,False,home,,,,"{'value': 2, 'displayName': 'SecondHalf'}",78.00,368547.00,,1.14,6.03,,16.00,7.00,5.00,,2.00,2.00,,1.00,1.00,,,,,,,1.00,1.00,,,,,1.00,,,,,,161,,,,,71.43,,100.00,,100.00
409730,3,Hugo Bueno,Sub,180,73,22,,False,home,,,,"{'value': 2, 'displayName': 'SecondHalf'}",77.00,415341.00,,1.50,5.95,1.00,21.00,10.00,8.00,,3.00,3.00,,,,1.00,,,,,1.00,3.00,,,,,,2.00,,1.00,,,,161,,,,,80.00,33.33,,,100.00
262854,11,Hwang Hee-Chan,Sub,177,77,29,,False,home,,,,"{'value': 2, 'displayName': 'SecondHalf'}",87.00,333048.00,,1.00,6.05,,4.00,1.00,1.00,,,,1.00,1.00,1.00,1.00,,,,,,,,,,,,,,,,,,161,,,,,100.00,,100.00,,
544982,28,Fer López,Sub,188,76,21,,False,home,,,,"{'value': 2, 'displayName': 'SecondHalf'}",77.00,397585.00,,1.00,5.94,,10.00,5.00,4.00,,,,,1.00,,,,,1.00,1.00,,,,2.00,,,,,,,1.00,,1.00,161,,,,,80.00,,,,
377271,18,Sasa Kalajdzic,Sub,200,90,28,,False,home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,161,,,,,,,,,
425060,15,Yerson Mosquera,Sub,187,76,24,,False,home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,161,,,,,,,,,
444241,4,Santiago Bueno,Sub,190,76,26,,False,home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,161,,,,,,,,,
105603,31,Sam Johnstone,Sub,193,85,32,,False,home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,161,,,,,,,,,
404852,1,James Trafford,GK,197,83,22,1.0,False,away,,,,,,,1.00,1.15,6.52,2.00,38.00,28.00,19.00,,,,,,,,,,,,,,,,,,,,,,,,,167,3.00,1.00,2.00,,67.86,,,,
444791,82,Rico Lewis,DR,170,64,20,1.0,False,away,394933.00,"{'value': 2, 'displayName': 'SecondHalf'}",71.00,,,,,1.92,6.61,3.00,67.00,49.00,45.00,2.00,4.00,4.00,,1.00,1.00,1.00,,,,,,1.00,,,,,,1.00,,1.00,,,,167,,,,,91.84,,100.00,,100.00
313171,3,Rúben Dias,DC,187,76,28,1.0,False,away,,,,,,,,1.84,6.40,3.00,85.00,79.00,71.00,,,,,,,,2.00,1.00,,,1.00,1.00,,,,,1.00,,1.00,,,,,167,,,,,89.87,100.00,,50.00,
101374,5,John Stones,DC,188,80,31,1.0,False,away,493206.00,"{'value': 2, 'displayName': 'SecondHalf'}",87.00,,,,,1.85,6.43,1.00,65.00,59.00,55.00,,,,,,,,2.00,2.00,,,2.00,2.00,,,,,,,2.00,1.00,,,,167,,,,,93.22,100.00,,100.00,
355401,21,Rayan Aït-Nouri,DL,180,70,24,1.0,False,away,,,,,,,,1.42,7.00,6.00,97.00,60.00,53.00,3.00,7.00,7.00,,6.00,6.00,1.00,3.00,2.00,,,1.00,3.00,1.00,2.00,1.00,,1.00,2.00,2.00,,1.00,,,167,,,,,88.33,33.33,100.00,66.67,100.00
343382,4,Tijjani Reijnders,MC,178,73,27,1.0,False,away,,,,,,,,1.94,6.84,1.00,82.00,57.00,52.00,,,,3.00,1.00,1.00,1.00,1.00,,,,1.00,3.00,4.00,3.00,2.00,1.00,1.00,2.00,,2.00,,,1.00,167,,,,,91.23,33.33,100.00,,
136741,20,Bernardo Silva,MC,173,65,31,1.0,False,away,468847.00,"{'value': 2, 'displayName': 'SecondHalf'}",71.00,,,,,1.48,6.97,1.00,54.00,34.00,33.00,,1.00,1.00,1.00,5.00,4.00,4.00,,,1.00,1.00,,1.00,2.00,,,,,1.00,,,,,,167,,,,3.00,97.06,,80.00,,100.00
422939,14,Nico González,MC,189,88,23,1.0,False,away,,,,,,,,2.00,7.12,2.00,99.00,78.00,72.00,1.00,,,1.00,3.00,3.00,,3.00,1.00,,,4.00,5.00,,2.00,,,2.00,1.00,1.00,,2.00,,,167,,,,,92.31,80.00,100.00,33.33,
430709,52,Oscar Bobb,FWR,177,70,22,1.0,False,away,,,,,,,,1.18,6.91,,46.00,32.00,30.00,,1.00,1.00,,,,2.00,,,,,3.00,5.00,1.00,,,,,2.00,,,,,,167,,,,,93.75,60.00,,,100.00
315227,9,Erling Haaland,FW,195,88,25,1.0,True,away,386153.00,"{'value': 2, 'displayName': 'SecondHalf'}",78.00,,,,,1.33,6.80,,13.00,4.00,2.00,,,,1.00,1.00,1.00,,4.00,,,,,1.00,,6.00,4.00,,4.00,1.00,4.00,,,,2.00,167,,,,,50.00,,100.00,100.00,
388098,11,Jérémy Doku,FWL,173,66,23,1.0,False,away,394749.00,"{'value': 2, 'displayName': 'SecondHalf'}",71.00,,,,,1.10,6.22,,32.00,19.00,18.00,,,,1.00,1.00,,,,,1.00,1.00,1.00,3.00,1.00,,,,,2.00,,2.00,,,,167,,,,,94.74,33.33,,,
394749,7,Omar Marmoush,Sub,180,81,26,,False,away,,,,"{'value': 2, 'displayName': 'SecondHalf'}",71.00,388098.00,,1.20,6.04,,13.00,6.00,5.00,,,,,,,,,,,,,2.00,1.00,1.00,,,,2.00,,,1.00,,,167,,,,,83.33,,,,
386153,10,Rayan Cherki,Sub,180,71,22,,False,away,,,,"{'value': 2, 'displayName': 'SecondHalf'}",78.00,315227.00,,2.86,6.75,,23.00,20.00,18.00,1.00,,,,1.00,,,,,1.00,1.00,,,1.00,1.00,,,,,,,,,1.00,167,,,,,90.00,,,,
394933,27,Matheus Nunes,Sub,183,78,26,,False,away,,,,"{'value': 2, 'displayName': 'SecondHalf'}",71.00,444791.00,,2.00,6.01,3.00,26.00,16.00,15.00,,4.00,3.00,,2.00,1.00,,,,1.00,1.00,,,1.00,,,1.00,,,,,,,,167,,,,,93.75,,50.00,,75.00
493206,45,Abdukodir Khusanov,Sub,186,84,21,,False,away,,,,"{'value': 2, 'displayName': 'SecondHalf'}",87.00,101374.00,,1.33,6.20,,7.00,4.00,4.00,,,,,1.00,1.00,,,,,,1.00,1.00,,,,,,,,,,,,167,,,,,100.00,100.00,100.00,,
468847,33,Nico O'Reilly,Sub,177,77,20,,False,away,,,,"{'value': 2, 'displayName': 'SecondHalf'}",71.00,136741.00,,1.80,5.96,,21.00,18.00,18.00,,,,,1.00,,,,,1.00,1.00,,,2.00,,,,,,,,,,,167,,,,,100.00,,,,
77464,19,Ilkay Gündogan,Sub,180,80,34,,False,away,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,167,,,,,,,,,
133569,18,Stefan Ortega,Sub,185,88,32,,False,away,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,167,,,,,,,,,
122945,6,Nathan Aké,Sub,180,75,30,,False,away,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,167,,,,,,,,,
297390,25,Manuel Akanji,Sub,188,91,30,,False,away,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,167,,,,,,,,,
